Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
Short Sleeve Beaded Dress,D5523A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,445,0,225,Short Sleeve Cocktail Dress with Beading on Sleeve and Shoulders,BLACK,Black,Beaded-Short Sleeve-Sequined-Sleeveless-Strapless-Tulle,Christmas-Daytime-Formal-New Year-Party,,,,Y,,
Sequined V Neck Cocktail Dress,D5494A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,395,0,195,Sequined V Neck Cocktail Dress,BLACK,BLACK,SEQUINED-SLEEVELESS-V NECK-Sleeveless-Strapless-Tulle,Christmas-New Year-Party,,,,,,
D5497A,D5497A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,445,0,225,Cocktail Dress,BLACK,BLACK,BEADED-SEQUINED-SLEEVELESS-STRAPLESS-TULLE-V NECK,Christmas-New Year-Party-Valentines,,,,,,
D5479A,D5479A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,395,0,195,Cocktail Dress,BLACK,Black,Beaded-Boat neck-Mini-Sequined-Sleeveless-Tulle,Christmas-Homecoming-New Year-Party-Valentines,,,,Y,,
Beaded Short Dress,D5448A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,450,0,225,Beaded Short Cocktail Dress,NAVY,GOLD-GUNMETAL-WHITE-PINK-NAVY,MINI-SEQUINED-SLEEVELESS-TULLE,,no,no,,,,
Crystal Embellished Cocktail Dress,D5446A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,495,0,250,Cocktail Dress With Jeweled Motif of Crystals,NUDE,Cream,Beaded-Crystal-Nude-Sequined-Sleeveless-Tulle,Christmas-Formal-New Year-Party-Prom-Valentines-Wedding,,,,Y,,
Multi Layer Cocktail Dress,D5427A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,445,0,225,Multi Layer Cocktail Dress with Beaded Shoulder Panels,TEAL,Black-Blue,Beaded-V Neck-Nude-Sequined-Sleeveless-Tulle,Christmas-Graduation-Homecoming-New Year-Party-Prom-Valentines-Wedding,,,,Y,,
Metallic Cocktail Dress,D5405A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,1195,0,595,Metallic Cocktail Dress with Metal Fringed Epillets,GUNMETAL,Gold-Green-Metallic-Silver,Fringed-Metallic-Nude-Sequined-Sleeveless-Tulle,Christmas-Graduation-Homecoming-New Year-Party-Prom-Valentines-Wedding,,,,,,
Cocktail Dress W Ruched Torso And Jeweled Hemline,D5380A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,395,0,195,Cocktail Dress With Ruched Torso And Jeweled Hem,BLACK,BLACK,CRYSTAL-MINI-PLEATED-SLEEVELESS-STRAPLESS-TULLE,Christmas-Formal-Homecoming-New Year-Party-Prom-Valentines,,,,Y,,
Peak Shoulder Cocktail Dress,D5401A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,285,0,145,Peak Shoulder Beaded Cocktail Dress With Wrap Front and 3/4 Sleeve,BLACK,BLACK,3/4 SLEEVE-BEADED-V NECK-SLEEVELESS-STRAPLESS-TULLE,Christmas-Formal-Graduation-Homecoming-New Year-Party-Valentines,,yes,,,,
Ribbed Dress With Sequins,D5374A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,395,0,195,Ribbed Strapless Cocktail Dress With Sequins,TEAL,Green,Sequined-Sleeveless-Strapless-Wrap-STRAPLESS-Tulle,Prom,,,,,,
V Neck Cocktail Dress,D5373A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,445,0,225,V Neck Cocktail Dress with striped accents of solid fabric and sequins,IVORY,Black,Sequined-Sleeveless-V Neck-Wrap-STRAPLESS-Tulle,Christmas-Formal-Graduation-Homecoming-New Year-Party-Prom-Valentines,,,,,,
V Neck Crystal Rim Cocktail Dress,D5288A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,395,0,195,Cocktail Dress with v neck and crystals on hem and neckline,BLACK,BLACK,CRYSTAL-MINI-STRAPLESS-TULLE-V NECK,Christmas-Formal-Graduation-Homecoming-New Year-Party-Prom-Valentines,,,,,,
Epillet Shoulder Cocktail Dress,D5281A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,445,0,225,Beaded Cocktail Dress with Beaded Bodice and Epillets On Shoulder,BLACK,GUNMETAL-BLACK,BEADED-CAP SLEEVE-V NECK-Wrap-STRAPLESS-Tulle,Christmas-Formal-Graduation-Homecoming-New Year-Party-Prom-Valentines,,,,Y,,
Scalloped Bodice Cocktail Dress,D5277A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,445,0,225,Fringed Strapless Cocktail Dress with Scalloped Bodice,WHITE,SILVER-PINK-WHITE,FRINGED-MINI-SEQUINED-SLEEVELESS-STRAPLESS-Tulle,Christmas-Formal-Graduation-Homecoming-New Year-Party-Prom-Valentines-Wedding,,,,Y,,
Pleated Cocktail Dress,D5276A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,265,0,135,Cocktail Dress With Pleated Waist halter top and sequined bust detail,BLACK,BLACK,HALTER-PLEATED-SLEEVELESS-SLEEVELESS-STRAPLESS-Tulle,Empire-Halter-Pleated-Sequined-Sleeveless-V Neck,,,,,,
D5984A,D5984A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,690,0,345,D5984A,GUNMETAL,GUNMETAL-NUDE NAVY,,,no,no,,,,
D6001A,D6001A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,690,0,345,D6001A,SILVER,SILVER,,,no,no,,,,
Flapper Cocktail Dress,D5115A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,590,0,295,Flapper Cocktail Dress,SILVER,GUNMETAL-SILVER,BEADED-CRYSTAL-FRINGED-MINI-SEQUINED-Tulle,Christmas-Graduation-Homecoming-New Year-Party-Prom,,,,,,
Bugle Beaded Cocktail Sheath Dress,D5116A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,445,0,225,Bugle beaded bodice cocktail dress with fringed bottom,WHITE,GREEN -GOLD-GUNMETAL-SILVER-BLACK-WHITE,BEADED-FRINGED-SEQUINED-SLEEVELESS-STRAPLESS-TULLE,Christmas-Formal-Graduation-New Year-Party-Prom-Valentines,,,,,,
Bell Sleeve Cocktail Dress,D5076A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,245,395,120,Bell Sleeve Flare Cocktail Dress,BLUE,RED-BLUE-GREEN -BLACK,CRYSTAL-EMPIRE WAIST-FLARE-LONG-LONG SLEEVE-SEQUINED-TULLE,,no,yes,,,,
D4323A,D4323A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-12-15,120,0,60,Short dress,BLACK,BLACK,FLARE-SEQUINED-SLEEVELESS-STRAPLESS-SEQUINED-Tulle,,,yes,,Y,,
Off Shoulder Cocktail Dress,D4071A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,175,285,60,Off Shoulder Short Dress with pleated shoulders,BLACK,BLACK,SEQUINED-SLEEVELESS-STRAPLESS-TULLE,FLARE-SLEEVELESS,,,yes,Y,,
